,titulo_1,titulo_2,url_1,url_2
308,Notebook Asus Intel Celeron 2.8GHz 4GB ram 128GB ssd Windows 10 Pro Tela 15.6,"Notebook Asus, Intel CeleronN4020 Dual Core, 4GB,128GB eMMC, Tela 15,6, Intel UHD600, Windows 10 Pro, Black- E510MA-BR295R",https://www.americanas.com.br/produto/4579000148,https://www.americanas.com.br/produto/3610345591
397,Notebook Acer Aspire 5 I3-1005g1 12gb 128 Ssd Tela 14 Hd,"Notebook Acer A514-53 - Tela 14, Intel i3 1005G1, ram 12GB, ssd 128GB, Windows 10 Professional",https://www.amazon.com.br/Notebook-Acer-Aspire-I3-1005g1-12gb/dp/B08WJK97PK,https://www.americanas.com.br/produto/3654858057
32,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD gtx 1650 4GB 15.6 fhd wva Linux 82CGS00100,https://www.americanas.com.br/produto/3699433802,https://www.americanas.com.br/produto/3628125731
390,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,Notebook Multilaser Ultra Intel Celeron W11 4GB 120GB ssd 15.6 Polegadas UB220,https://www.americanas.com.br/produto/4956197856,https://www.americanas.com.br/produto/4864781588
54,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,"Notebook Lenovo Ultrafino IdeaPad 3 R5-5500U 8GB 256GB SSD Windows 11 15.6"" 82MF0003BR Prata",https://www.americanas.com.br/produto/4887523426,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-R5-5500U-82MF0003BR/dp/B09LFJ13X9
62,Notebook ThinkPad E14 Ryzen 3 8GB 256GB ssd Windows 11 Pro 14 Full HD 20YD000PBO Preto,"Notebook ThinkPad E14 Ryzen 3 8GB 256GB SSD Windows 11 Pro 14"" Full HD 20YD000PBO Preto",https://www.americanas.com.br/produto/4866549483,https://www.amazon.com.br/Notebook-ThinkPad-E14-Windows-20YD000PBO/dp/B09VCV48BL
89,Notebook Acer A315 Intel Celeron N4000 Memoria 8gb HD 1tb Tela 15.6' Hd Windows 10 Home,"Notebook Acer 15.6"" A315-34-C5EY Celeron N4000 4GB 500GB, NX.HRNAL.001",https://www.americanas.com.br/produto/4201441540,https://www.amazon.com.br/Notebook-Acer-A315-34-C5EY-Celeron-NX-HRNAL-001/dp/B0156Q4P94
219,Notebook Positivo Motion 14 HD Intel i3-7020U 1TB 4GB Linux Cinza Escuro,Notebook Positivo Motion I341tbi 14 Hd Intel Core I3 1tb 4gb,https://www.americanas.com.br/produto/3420290972,https://www.americanas.com.br/produto/3697565490
329,Notebook Multilaser Legacy Cloud 14 Pol. 2GB 32GB W10 Cinza - PC131,Notebook Multilaser PC131 Legacy Cloud Intel Atom Z8350 2GB 32GB W10 14'',https://www.amazon.com.br/Notebook-Multilaser-Legacy-Cloud-Cinza/dp/B08FPD4D9R,https://www.americanas.com.br/produto/2529730863
104,"Notebook Acer A315-56-569F, Intel Core i5, 4GB 256GB, 15.6, Endless Os, Grafite","Notebook Acer 15,6 - A315-56-569F/ I5-1035G1 - Linux Endless",https://www.americanas.com.br/produto/2643336771,https://www.americanas.com.br/produto/2800997152
220,"Notebook Positivo Duo C464A Celeron Dual Core, 12, Windows 10, 4GB ram, 64GB, Cinza","Notebook 2 em 1 Positivo Duo C464C Intel Celeron 4GB de Memória RAM 64GB de Armazenamento 11.6"" IPS Full HD touch com caneta Windows 10 Home - Cinza",https://www.americanas.com.br/produto/3018321873,https://www.amazon.com.br/Notebook-Positivo-Celeron%C2%AE-Dual-CoreTM-Touchscreen/dp/B08DC59WWW
