,titulo_1,titulo_2,url_1,url_2
234,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,Geladeira Continental TC56 Frost Free 472L,https://www.americanas.com.br/produto/2298984451,https://www.americanas.com.br/produto/2209533545
195,Refrigerador Cuisinart Multi Door Arkton 518 Litros Cinza 220v 4093450001,Refrigerador Multi Door Cinza Cuisinart Arkton,https://www.americanas.com.br/produto/3467786887,https://www.americanas.com.br/produto/3293231240
35,Geladeira Brastemp Frost Free Side Inverse 540 litros cor Inox com Ice Maker - BRO80AK 220V,Refrigerador Brastemp Side By Side Inverse 540 L Inox 220v,https://www.amazon.com.br/Geladeira-Frost-Inverse-Portas-Platinum/dp/B076B9DHN4,https://www.americanas.com.br/produto/4899721737
78,Geladeira / Refrigerador Brastemp Duplex BRM44 Frost Free 375 Litros - Branco - 110V,Geladeira Brastemp Frost Free 375 litros BRM44HB - Brastemp,https://www.americanas.com.br/produto/133257344,https://www.americanas.com.br/produto/5154986992
119,Refrigerador Evox 2 Portas Frost Free 340L com Freezer 72L Consul,Geladeira/Refrigerador Consul Duplex Frost Free 340 litros CRM39 Evox 110V,https://www.americanas.com.br/produto/3505974433,https://www.americanas.com.br/produto/134571811
27,Refrigerador Consul Frost Free 342 Litros Com Controle De Temperatura Crb39 Branco 220v,Refrigerador Consul Frost Free 342L Branco 220v,https://www.americanas.com.br/produto/5200633161,https://www.americanas.com.br/produto/5200119794
43,Geladeira Brastemp Frost Free Inverse 2 Portas 573L Evox BRE80AK,Geladeira Brastemp Frost Free Inverse 573 litros cor Inox com Smart Bar - BRE80AK 110V,https://www.americanas.com.br/produto/3735434192,https://www.amazon.com.br/Geladeira-Brastemp-Frost-Inverse-litros/dp/B07CJLD8G1
138,Refrigerador Philco Side By Side 437L Eco Inverter 220V,Refrigerador Philco Side By Side PRF533I 220v,https://www.americanas.com.br/produto/3838212576,https://www.americanas.com.br/produto/3419495292
268,Refrigerador Smart LG 428 Litros Inverter French Door Hygiene Fresh e NATUREFresh Inox GC-L228FTL1 – 220 Volts,Refrigerador LG Smart French Door Inverter com Hygiene Fresh + e NATUREFresh GC-L228FTL1 Aço Escovado – 428L 220V,https://www.americanas.com.br/produto/4806447397,https://www.americanas.com.br/produto/4278170709
266,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V,Refrigerador LG inverse 451 litros inox GC-B659BSB1 - Aço Escovado - 220 V,https://www.americanas.com.br/produto/4955349361,https://www.americanas.com.br/produto/4822017792
65,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,Refrigerador Consul CRM43 2 Portas 386 Litros Frost Free,https://www.americanas.com.br/produto/4734543434,https://www.americanas.com.br/produto/4734543910
176,Geladeira Frost Free Electrolux 598 Litros Inverse Cor Inox (DB84X) 127V,Geladeira/Refrigerador Frost Free Bottom Freezer Electrolux 598l Db84x Inox 110v,https://www.amazon.com.br/Refrigerador-Electrolux-Bottom-Freezer-Litros/dp/B07CTPQPL3,https://www.americanas.com.br/produto/133234986
